RUN	parabank.LoginTest	logintest	1745973045891	 	3.3.1
USER	Login	180	START	1745973068488	1745973068488
REQUEST	173		login	1745973067891	1745973068494	OK	 
USER	Login	173	END	1745973067890	1745973068495
REQUEST	161		login	1745973066849	1745973068500	OK	 
USER	Login	161	END	1745973066848	1745973068501
USER	Login	181	START	1745973068565	1745973068565
REQUEST	177		login	1745973068229	1745973068566	OK	 
USER	Login	177	END	1745973068228	1745973068567
USER	Login	182	START	1745973068640	1745973068640
REQUEST	178		login	1745973068319	1745973068662	OK	 
USER	Login	178	END	1745973068319	1745973068663
REQUEST	179		login	1745973068396	1745973068709	OK	 
USER	Login	179	END	1745973068395	1745973068711
USER	Login	183	START	1745973068733	1745973068733
USER	Login	184	START	1745973068809	1745973068809
REQUEST	180		login	1745973068488	1745973068829	OK	 
USER	Login	180	END	1745973068488	1745973068830
USER	Login	185	START	1745973068888	1745973068888
REQUEST	181		login	1745973068566	1745973068902	OK	 
USER	Login	181	END	1745973068565	1745973068903
REQUEST	182		login	1745973068641	1745973068953	OK	 
USER	Login	182	END	1745973068640	1745973068954
USER	Login	186	START	1745973068979	1745973068979
REQUEST	170		login	1745973067645	1745973068993	OK	 
USER	Login	170	END	1745973067645	1745973068993
USER	Login	187	START	1745973069058	1745973069058
REQUEST	183		login	1745973068734	1745973069103	OK	 
USER	Login	183	END	1745973068733	1745973069104
USER	Login	188	START	1745973069146	1745973069146
REQUEST	184		login	1745973068810	1745973069195	OK	 
USER	Login	184	END	1745973068809	1745973069196
USER	Login	189	START	1745973069238	1745973069238
REQUEST	185		login	1745973068889	1745973069258	OK	 
USER	Login	185	END	1745973068888	1745973069259
USER	Login	190	START	1745973069314	1745973069314
REQUEST	186		login	1745973068979	1745973069350	OK	 
USER	Login	186	END	1745973068979	1745973069351
USER	Login	191	START	1745973069390	1745973069390
REQUEST	187		login	1745973069059	1745973069394	OK	 
USER	Login	187	END	1745973069058	1745973069395
USER	Login	192	START	1745973069450	1745973069450
REQUEST	188		login	1745973069147	1745973069499	OK	 
USER	Login	188	END	1745973069146	1745973069500
USER	Login	193	START	1745973069528	1745973069528
REQUEST	189		login	1745973069239	1745973069566	OK	 
USER	Login	189	END	1745973069238	1745973069567
USER	Login	194	START	1745973069619	1745973069619
