ASSERTION	AAICAAMBAAAAAAAAAFlA
RUN	parabank.EscalabilidadEnTransaccTest	escalabilidadentransacctest	1745973029508	 	3.3.1
USER	Probar escalabilidad en transacciones	95	END	1745973031723	1745973032273
USER	Probar escalabilidad en transacciones	176	START	1745973032273	1745973032273
REQUEST	82		EscalabilidadEnTransacc	1745973031637	1745973032281	OK	 
USER	Probar escalabilidad en transacciones	82	END	1745973031636	1745973032282
USER	Probar escalabilidad en transacciones	177	START	1745973032283	1745973032283
USER	Probar escalabilidad en transacciones	178	START	1745973032283	1745973032283
REQUEST	75		EscalabilidadEnTransacc	1745973031595	1745973032285	OK	 
REQUEST	71		EscalabilidadEnTransacc	1745973031569	1745973032285	OK	 
REQUEST	90		EscalabilidadEnTransacc	1745973031712	1745973032285	OK	 
USER	Probar escalabilidad en transacciones	90	END	1745973031711	1745973032286
USER	Probar escalabilidad en transacciones	75	END	1745973031594	1745973032286
USER	Probar escalabilidad en transacciones	71	END	1745973031567	1745973032286
REQUEST	73		EscalabilidadEnTransacc	1745973031580	1745973032289	OK	 
USER	Probar escalabilidad en transacciones	73	END	1745973031580	1745973032290
REQUEST	94		EscalabilidadEnTransacc	1745973031714	1745973032293	OK	 
USER	Probar escalabilidad en transacciones	94	END	1745973031713	1745973032294
REQUEST	69		EscalabilidadEnTransacc	1745973031560	1745973032294	OK	 
USER	Probar escalabilidad en transacciones	69	END	1745973031554	1745973032295
USER	Probar escalabilidad en transacciones	179	START	1745973032299	1745973032299
USER	Probar escalabilidad en transacciones	180	START	1745973032303	1745973032303
USER	Probar escalabilidad en transacciones	181	START	1745973032303	1745973032303
REQUEST	92		EscalabilidadEnTransacc	1745973031712	1745973032304	OK	 
REQUEST	86		EscalabilidadEnTransacc	1745973031664	1745973032305	OK	 
USER	Probar escalabilidad en transacciones	92	END	1745973031712	1745973032305
USER	Probar escalabilidad en transacciones	86	END	1745973031663	1745973032306
REQUEST	89		EscalabilidadEnTransacc	1745973031707	1745973032308	OK	 
USER	Probar escalabilidad en transacciones	89	END	1745973031706	1745973032309
USER	Probar escalabilidad en transacciones	182	START	1745973032314	1745973032314
REQUEST	81		EscalabilidadEnTransacc	1745973031637	1745973032324	OK	 
USER	Probar escalabilidad en transacciones	81	END	1745973031636	1745973032325
USER	Probar escalabilidad en transacciones	184	START	1745973032331	1745973032331
