ASSERTION	AAMAARNMb2dpbiAxMDAvbG9naW5fMTAwAwABAQEAAAAAAABAn0A=
ASSERTION	AAMAARNMb2dpbiAyMDAvbG9naW5fMjAwAwABAQEAAAAAAACIs0A=
RUN	parabank.LoginTest	logintest	1746084763436	 	3.3.1
REQUEST	155	Login 200	login_200	1746084765279	1746084765999	OK	 
GROUP	155	Login 200	1746084765279	1746084765999	720	OK
REQUEST	66	Login 100	login_100	1746084765269	1746084765999	OK	 
GROUP	66	Login 100	1746084765268	1746084766000	730	OK
USER	Carga Pico	155	END	1746084765279	1746084766000
USER	Carga Normal	66	END	1746084765268	1746084766000
REQUEST	132	Login 200	login_200	1746084765277	1746084766000	OK	 
GROUP	132	Login 200	1746084765277	1746084766001	723	OK
USER	Carga Pico	132	END	1746084765277	1746084766001
REQUEST	85	Login 100	login_100	1746084765271	1746084766002	OK	 
GROUP	85	Login 100	1746084765271	1746084766002	731	OK
USER	Carga Normal	85	END	1746084765271	1746084766003
REQUEST	203	Login 200	login_200	1746084765285	1746084766003	OK	 
GROUP	203	Login 200	1746084765284	1746084766004	718	OK
USER	Carga Pico	203	END	1746084765284	1746084766004
REQUEST	87	Login 100	login_100	1746084765274	1746084766006	OK	 
GROUP	87	Login 100	1746084765274	1746084766007	732	OK
USER	Carga Normal	87	END	1746084765271	1746084766008
REQUEST	147	Login 200	login_200	1746084765278	1746084766012	OK	 
GROUP	147	Login 200	1746084765278	1746084766013	734	OK
